Year,Period,Date,P1 Response Time Performance,P2 Reponse Time Performance,P3 Reponse Time Performance,P4 Reponse Time Performance,P5 Reponse Time Performance,P1 Dispatch Calls,P2 Dispatch Calls,P3 Dispatch Calls,P4 Dispatch Calls,P5 Dispatch Calls,P1-P5 Dispatch Calls
2009,2009 Q1,03/31/2009,71.8,90.9,92.6,74.9,85.5,1604,316,3520,10728,13995,30163
2009,2009 Q2,06/30/2009,75.2,97.8,93.5,75.5,82,1640,308,4004,12449,17718,36119
2009,2009 Q3,09/30/2009,79.9,91.9,93.4,75.8,81.9,1522,309,4248,13492,19147,38718
2009,2009 Q4,12/31/2009,76,94.2,94,77.8,83.6,1472,210,3267,11592,14312,30853
2010,2010 Q1,03/31/2010,80.1,97.1,95.8,79.9,85.2,1437,194,3253,11308,13491,29683
2010,2010 Q2,06/30/2010,81.3,96.1,95.6,80.1,83.6,1654,283,3744,13627,15808,35116
2010,2010 Q3,09/30/2010,81.6,94.8,96.2,80.9,85.2,1792,273,4303,14459,16213,37040
2010,2010 Q4,12/31/2010,78.6,92.6,95.2,82.2,86.6,1432,253,3498,12961,14153,32297
2011,2011 Q1,03/31/2011,73,92.9,95,83.8,86.9,1112,164,3250,12385,13468,30379
2011,2011 Q2,06/30/2011,81.7,96.7,95.9,83.3,83.9,1485,234,3777,14624,15496,35616
2011,2011 Q3,09/30/2011,80.8,95.4,95.3,84.4,85,1260,240,3736,15818,16561,37615
2011,2011 Q4,12/31/2011,80,93.5,94.8,84.3,86,1120,164,3080,13662,13414,31440
2012,2012 Q1,03/31/2012,80,98.5,95.7,83.6,86.2,1116,146,2869,13613,13105,30849
2012,2012 Q2,06/30/2012,77.8,97.3,94.8,80.7,83.1,1212,162,3261,15553,15960,36148
2012,2012 Q3,09/30/2012,79.1,94.9,94.9,79.4,80.5,1201,209,3365,17380,18062,40217
2012,2012 Q4,12/31/2012,71.4,94.1,90.7,79.3,81.7,1105,114,2977,14890,14217,33303
2013,2013 Q1,03/31/2013,71.2,95.1,93.8,79.6,81.4,1110,130,2733,14628,13723,32324
2013,2013 Q2,06/30/2013,72.9,94.4,92.2,76.7,75.6,1149,135,3203,16546,16961,37994
2013,2013 Q3,09/30/2013,72.2,90.4,91.6,74.1,71.1,1289,152,3610,18196,18300,41547
2013,2013 Q4,12/31/2013,68.3,93.1,91.2,74.2,74.7,1170,108,2948,16579,14645,35450
2014,2014 Q1,03/31/2014,68.8,93.3,92.4,74.6,74.9,1141,111,2701,15889,13772,33614
2014,2014 Q2,06/30/2014,74.2,95.6,93.1,74,73.9,1056,118,3080,18238,16896,39388
2014,2014 Q3,09/30/2014,73.7,91.5,93.1,72.5,70,1044,134,3199,19230,18001,41608
2014,2014 Q4,12/31/2014,69.1,90.9,92.4,72.1,70.2,997,96,2802,17773,15724,37392
2015,2015 Q1,03/31/2015,68.8,90.8,91.6,70.9,68.1,861,93,2716,17861,15573,37104
2015,2015 Q2,06/30/2015,69.4,95.1,93.4,69.7,61.5,961,90,3110,19335,18359,41855
2015,2015 Q3,09/30/2015,73,93.2,93.4,69.2,61.1,1014,68,2973,21330,19943,45328
2015,2015 Q4,12/31/2015,76.2,94.3,93.5,67.1,60.1,918,60,2691,20452,16472,40593
2016,2016 Q1,03/31/2016,74.1,90,94.4,71.4,66,785,37,2221,19345,15744,38132
2016,2016 Q2,06/30/2016,68.4,96.4,94.2,67.1,56.1,832,64,2598,21509,18783,43786
2016,2016 Q3,09/30/2016,72.2,94.1,94.9,68.7,63.4,832,80,2298,21053,18297,42560
2016,2016 Q4,12/31/2016,69.4,96.3,95.4,70.5,65.5,842,60,1932,19363,16493,38690
2017,2017 Q1,03/31/2017,76.3,100,96.1,70.6,64.9,715,32,1939,18972,15351,37009
2017,2017 Q2,06/30/2017,68.3,92.2,95.1,70,62.8,746,71,2433,21721,17946,42917
2017,2017 Q3,09/30/2017,77.9,94.7,95.5,69.3,58,766,64,2259,23148,19405,45642
2017,2017 Q4,12/31/2017,68.8,92.7,94.6,66.1,51.5,884,66,2376,21607,16350,41283
2018,2018 Q1,03/31/2018,71.8,96,95,68.9,57.4,679,85,2121,19989,14584,37458
2018,2018 Q2,06/30/2018,73.6,94.2,94.9,67.2,50.4,810,126,2854,23128,17122,44040
2018,2018 Q3,09/30/2018,77.6,93.7,93.8,68.1,51.1,824,133,2920,24080,17607,45564
2018,2018 Q4,12/31/2018,65.9,96.2,93.9,66.7,45.6,891,122,2502,22970,16340,42825
2019,2019 Q1,03/31/2019,69.7,93.8,94.9,69.1,53.8,686,93,1913,21496,15905,40093
2019,2019 Q2,06/30/2019,70.4,96,95.3,67.4,44.9,856,117,2371,24204,16910,44458
2019,2019 Q3,09/30/2019,72.8,88.8,94.4,67.2,41.8,828,116,2538,26045,17644,47171
