Police Jurisdiction,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"St Johns, NL",202.7,181.57,202.2,206.41,171.58,180.09,170.02,147.58,161.78,303.7,404.86,420.04,458.05,528.58,546.16,541.33,483.14,410.3,394.52,369.31,286.14
"Halifax, NS",209.54,233.36,177.45,192.1,181.1,170.26,171.93,172.33,197.36,265.72,238.99,255.29,271.19,276.07,270.77,232.23,241.98,222.52,220.77,221.82,208.36
"Moncton, NB",,,,,,,,,228.27,301.23,380.59,301.87,399.11,347.9,321.69,263.48,283.31,264.45,250.45,250.42,266.26
"Saint John, NB",348.86,355.88,367.25,254.73,219.48,215.4,188.93,190.25,188.33,241.83,262.85,245.58,223.97,235.95,218.4,185.87,156.86,168.04,145.41,142.27,164.88
"Saguenay, QB",343.57,352.64,275.73,249.33,226.84,253.77,227.1,207.62,236.72,225.39,198.79,213.46,244.72,226.5,232.5,231.47,211.35,216.16,219.59,205.57,192.01
"Quebec, QB",238.59,239.98,216.86,207.54,236.31,236.05,194.45,167.42,166.58,162.2,175.74,165.11,174.26,183.42,200.92,179.09,163.11,167.1,179.04,162.42,165.53
"Sherbrooke, QB",276.28,208.03,238.32,203.15,220.05,212.34,189.03,192.54,220.85,228.76,219.47,225.44,252.05,222.64,254.29,203.09,241.5,184.59,233.93,180.84,183.62
"Trois-Rivieres, QB",390.83,391.32,342.21,334.39,363.48,361.35,329.36,315.29,321.81,334.49,369.53,373.66,356.3,328.3,303.79,241.25,238.35,203.56,213.79,180.99,185.11
"Montreal, QB",173.23,184.35,175.04,181.95,177,168.46,158.62,158.17,156.12,159.81,153.97,154.14,148.2,152.12,153.24,148.63,147.61,147.15,149.07,137.1,131.66
"Ottawa-Gateneau, ON/QB",180.38,171.95,151.7,160.27,138.17,133.88,129.17,119.1,125.09,127.33,131.58,128.45,127.37,116.44,121.52,111.98,107,107.91,103.76,90.29,89.32
"Kingston, ON",,,,173.6,148.07,115.03,102.09,114.11,94.75,103.43,95.61,97.18,64.55,94.18,74.51,72.23,67.82,63.32,78.6,64.44,67.23
"Belleville, ON",,,,,,,,,,,,,,,,,,,110.32,103.8,140.7
"Peterborough, ON",,,,,,,,,244.33,200.79,172.6,180.82,187.76,219.55,236.61,196.35,176.29,159.45,160.77,138.49,155.12
"Toronto, ON",114.87,125.39,130.2,135.63,129.01,112.58,114.89,114.68,110.86,105.61,112.1,102.48,99.18,103.36,100.91,90.18,84.98,88.13,83.07,78.95,75.1
"Hamilton, ON",142.07,140.59,143.09,119.8,109.12,105.97,100.43,87.25,87.01,92.08,123.57,128.59,116.78,113.52,110.97,108.44,110.25,107.3,94.54,93.93,97.28
"St. Catharines-Niagara, ON",195.32,215.87,221.7,260.47,211.36,178.17,167.61,133.79,107.37,126.44,124.12,167.2,165.67,158.26,148.18,131.94,128.05,124.34,133.48,130.19,102.45
"Kitchener-Cambridge-Waterloo, ON",224.46,213.61,230.34,180.78,170.89,144.8,137.82,136.79,136.01,144.37,147.54,137.38,129.41,130.8,119.34,104.09,102.76,100.35,104.99,99.12,92.2
"Brantford, ON",,,,,,,,,147.52,154.96,164.94,170.37,149.24,143.18,127.74,127.65,111.55,109.45,111.91,120.78,114.4
"Guelph, On",,,,,,,,,176.78,145.1,166.75,158.01,144.8,156.63,146.46,102.81,122.07,115.98,108.47,98.45,100.23
"Ontario, ON",228.96,216.11,214.1,185.32,177.82,144.93,130.37,131.86,129.01,113.86,122.07,116.44,103.15,90.94,98.69,100.65,91.86,91.58,77.45,77.31,85.99
"Ontario, ON",227.12,149.37,135.93,191.83,125.55,127.04,115.37,123.67,114.85,115.67,96.34,105.2,100.46,96.84,77,96.88,82.48,84.81,79.4,73.16,80.62
"Barrie, ON",,,,,,,,,177.09,140.6,149.13,188.59,161.16,110.7,141.82,150.5,157.33,139.15,148.34,157.73,142.17
"Greater Sudbury, ON",168.92,151.04,122.88,156.98,163.66,111.22,102.69,111.48,111.12,126.58,121.18,117.44,114.73,125.03,113.14,107.43,105.15,97.28,89.83,97.98,92.78
"Thunder Bay, ON",345.28,259.27,272.23,262.65,263.87,260.92,209.09,194.28,179.09,155.97,139.85,143.49,158.44,159.92,159.58,111.94,118.46,115.6,170.26,171,153.14
"Winnipeg, MB",220.22,211.67,174.7,152.35,143.4,133.54,128.4,100.81,102.1,115.29,112.16,128.85,123.39,125.2,103.8,100.28,101.49,96.16,83.59,83.1,79.95
"Regina, SK",446.62,464.1,467.67,425.24,343.68,346.79,287.95,285.11,271.41,271.3,276.85,311.28,382.7,370.66,337.06,390.63,319.31,314.69,295.87,223.62,203.18
"Saskatoon, SK",430.41,390.6,292.48,306.61,302.65,255.43,248.25,178.77,195.45,241.62,283.25,285.85,275.64,259.99,254.65,239.01,221.52,232.28,207,179.96,181.91
"Lethbridge, AB",,,,,,,,,,,,,,,,,,,234.55,180.83,299.19
"Calgary, AB",235.34,237.94,230.22,235.5,240.75,224.65,243.61,208.72,190.53,178.55,185.28,192.7,191.47,206.46,199.45,176.22,149.11,133.62,117.3,118.54,119.62
"Edmonton, AB",328.78,315.07,295.83,272.86,238.08,244.18,239.49,257.12,248.28,310.38,357.67,361.2,340.38,324.5,285.52,250.11,243.65,228.91,203.8,203.22,211.91
"Kelowna, BC",,,,,,,,,330.91,328.62,310.7,453.27,476.88,584.27,473.17,385.23,384.71,322.12,300.31,275.42,272.56
"Abootsford-Mission, BC",,,,154.14,126.45,149.47,132.71,155.8,160.26,335.1,308.88,348.8,359.79,374.32,296.46,325.56,275.32,218.41,246.25,209.69,225.31
"Vancouver, BC",141.19,169.32,159.88,197.03,203.45,200.1,305.5,287.08,257,254.28,252.11,295.77,260.21,295.78,201.25,197.36,177.24,162.17,166.87,166.81,170.89
"Victoria, BC",275.58,250.48,212.12,219.5,241.38,292.14,282.35,294.85,340.95,293.87,354.78,385.69,322.46,358.26,283.56,217.92,236.89,254.25,238.98,228.8,231.26
